Model Delta.SW Delta.Surf SWari_cs SWari_cld Delta.SW_cl Delta.SW_ci Delta.SW_f_l Delta.SW_f_i SWRes
ECHAM6-HAM2.2 -1.89 -0.01 -0.20 0.03 -0.94 -0.17 -0.17 -0.42 -0.01
ECHAM6-HAM2.2-CND -0.94 0.00 -0.17 - -0.45 -0.10 0.18 -0.37 -0.03
ECHAM6-HAM2.2-anthsca1.5 -2.33 0.00 -0.33 - -1.09 -0.20 -0.19 -0.49 -0.03
ECHAM6-HAM2.2-anthsca2 -2.80 0.00 -0.45 - -1.28 -0.24 -0.23 -0.58 -0.02
ECHAM6-HAM2.2-anthsca4 -4.24 0.00 -0.89 - -1.83 -0.35 -0.36 -0.82 0.01
CAM5.3 -2.10 0.01 -0.17 0.12 -1.13 -0.22 -0.68 -0.06 0.04
CAM5.3-MG2 -1.55 -0.01 -0.18 0.08 -1.29 0.00 -0.11 0.05 -0.08
CAM5.3-CLUBB -2.44 0.00 -0.21 0.11 -1.22 -0.22 -0.97 -0.05 0.12
CAM5.3-CLUBB-MG2 -2.47 0.00 -0.20 0.08 -1.44 -0.02 -0.64 -0.42 0.16
SPRINTARS -1.18 -0.18 -0.21 -0.03 -0.68 -0.05 -0.06 -0.00 0.03
SPRINTARS-KK -1.46 -0.19 -0.22 -0.03 -0.79 -0.06 -0.15 -0.00 -0.01
HadGEM3-UKCA -2.74 - -0.45 - -1.29 -0.45 -0.18 -0.07 -0.30
UKESM1-A -1.35 0.00 -0.42 -0.06 -0.56 -0.16 -0.22 0.01 0.05
CanESM2 -0.95 -0.01 -0.27 - -0.47 -0.17 -0.06 0.03 0.01
HadGEM2-A -1.33 0.02 -0.28 - -0.76 -0.19 -0.27 0.06 0.10
IPSL-CM5A-LR -0.53 -0.03 -0.29 - -0.07 -0.07 -0.07 0.00 -0.00
MIROC5 -1.78 -0.05 -0.32 - -1.16 -0.36 -0.23 0.00 0.33
MRI-CGCM3-p1 -2.06 0.03 -0.07 - -0.82 -0.98 -0.05 -0.39 0.22
MRI-CGCM3-p3 -2.63 0.03 -0.07 - - - - - -
MPI-ESM-LR-p1 -0.24 -0.01 -0.20 - - - - - -
MPI-ESM-LR-p3 -0.43 -0.05 -0.33 - - - - - -
