Model Delta.LW LWarics Delta.LWcl Delta.LWci Delta.LWc_f_l Delta.LWc_f_i LWRes
ECHAM6-HAM2.2 0.83 0.01 -0.04 0.42 0.03 0.46 -0.05
ECHAM6-HAM2.2-CND 0.53 -0.03 -0.08 0.31 -0.07 0.42 -0.02
ECHAM6-HAM2.2-anthsca1.5 0.85 0.01 -0.10 0.41 0.04 0.56 -0.07
ECHAM6-HAM2.2-anthsca2 1.00 0.02 -0.12 0.48 0.05 0.67 -0.10
ECHAM6-HAM2.2-anthsca4 1.43 0.06 -0.22 0.65 0.08 0.98 -0.11
CAM5.3 0.69 0.09 -0.07 0.58 0.19 0.07 -0.17
CAM5.3-MG2 0.25 0.05 0.01 0.35 0.10 -0.04 -0.22
CAM5.3-CLUBB 0.70 0.10 -0.08 0.56 0.29 0.05 -0.21
CAM5.3-CLUBB-MG2 0.82 0.12 0.03 0.11 0.21 0.34 0.01
SPRINTARS 0.19 0.07 0.01 0.09 0.02 0.00 -0.00
SPRINTARS-KK 0.23 0.08 0.00 0.12 0.05 0.01 -0.02
HadGEM3-UKCA 0.44 0.11 0.09 0.25 0.06 0.05 -0.12
UKESM1-A 0.22 0.14 0.09 0.03 0.04 -0.02 -0.07
CanESM2 0.07 0.06 0.04 -0.05 0.02 -0.02 0.02
HadGEM2-A 0.09 0.08 0.06 -0.00 0.04 -0.06 -0.02
IPSL-CM5A-LR -0.21 0.02 -0.01 -0.02 0.02 -0.00 -0.22
MIROC5 0.49 0.12 0.06 0.25 0.06 0.03 -0.03
MRI-CGCM3 0.96 0.00 0.01 0.59 0.01 0.34 0.00
MRI-CGCM3 1.15 0.00 NA NA NA NA NA
MPI-ESM-LR -0.12 -0.01 NA NA NA NA NA
MPI-ESM-LR -0.20 -0.02 NA NA NA NA NA
