Model Nd L fc fc_corr L_100 fc_100 fc_corr_100
ECHAM6-HAM2.2 -0.43 -0.51 -0.17 -0.29 118 38 66
ECHAM6-HAM2.2-CND -0.42 -0.03 0.18 0.07 6 -43 -17
ECHAM6-HAM2.2-anthsca1.5 -0.46 -0.62 -0.19 -0.33 135 41 72
ECHAM6-HAM2.2-anthsca2 -0.54 -0.74 -0.23 -0.39 138 42 73
ECHAM6-HAM2.2-anthsca4 -0.76 -1.08 -0.36 -0.60 142 47 79
CAM5.3 -0.78 -0.35 -0.68 -0.70 45 87 89
CAM5.3-MG2 -1.06 -0.23 -0.11 -0.07 22 11 7
CAM5.3-CLUBB -0.87 -0.35 -0.97 -0.99 40 111 113
CAM5.3-CLUBB-MG2 -1.16 -0.28 -0.64 -0.81 24 55 69
SPRINTARS -0.66 -0.02 -0.06 -0.06 3 9 9
SPRINTARS-KK -0.74 -0.05 -0.15 -0.15 7 20 20
HadGEM3-UKCA -1.26 -0.02 -0.18 -0.19 2 15 15
UKESM1-A -0.55 -0.01 -0.22 -0.20 2 39 36
CanESM2 -0.44 -0.03 -0.06 -0.05 8 14 12
HadGEM2-A -0.68 -0.09 -0.27 -0.25 13 40 36
IPSL-CM5A-LR -0.07 0.00 -0.07 -0.06 -1 97 78
MIROC5 -0.93 -0.23 -0.23 -0.26 25 25 28
MRI-CGCM3 -0.71 -0.10 -0.05 -0.14 15 8 19
